exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
music80_06_ratio-of-steps,23,8.348716735839844,159.3215625,6400,6370,0.3880372092708852,0.09571629770423802,0.0449347251212132,music80_06_ratio-of-steps_23,1148.32080078125,0.004834676627069712,1.0,0.004512326791882515,1.0,0.007550334557890892,1.0
music80_06_ratio-of-steps,24,8.331371307373047,164.68734375,6400,6365,0.39124637805538526,0.09424764137720101,0.04434997224607672,music80_06_ratio-of-steps_24,1144.326171875,0.005041246302425861,1.0,0.004534011706709862,1.0,0.005861653480678797,1.0
music80_06_ratio-of-steps,25,8.316662788391113,167.070625,6400,6381,0.39307642638094237,0.09483380134476065,0.0439192661712276,music80_06_ratio-of-steps_25,1187.302734375,0.0045134988613426685,1.0,0.0041235522367060184,1.0,0.004219070076942444,1.0
music80_06_ratio-of-steps,26,8.303025245666504,171.8403125,6400,6375,0.39871167365626364,0.0949730238463391,0.04435487448934147,music80_06_ratio-of-steps_26,1247.08056640625,0.003792191157117486,1.0,0.0037254351191222668,1.0,0.0036509926430881023,1.0
music80_06_ratio-of-steps,27,8.282711029052734,175.086875,6400,6376,0.40216773523807686,0.09362245188370194,0.044057333218462454,music80_06_ratio-of-steps_27,1277.99462890625,0.0032669412903487682,1.0,0.0031369526404887438,1.0,0.0032353149726986885,1.0
music80_06_ratio-of-steps,28,8.263556480407715,176.615,6400,6370,0.40303435824281025,0.09354939602126787,0.0442009362502364,music80_06_ratio-of-steps_28,1187.782470703125,0.002983797574415803,1.0,0.004737511742860079,1.0,0.003165659261867404,1.0
music80_06_ratio-of-steps,29,8.266489028930664,180.00859375,6400,6382,0.4051886025118604,0.09278084190259364,0.044094548828295416,music80_06_ratio-of-steps_29,1136.5211181640625,0.0026572945062071085,1.0,0.0026331113185733557,1.0,0.0025833938270807266,1.0
music80_06_ratio-of-steps,30,8.257672309875488,180.90740625,32000,31783,0.4083299660366494,0.09424911936049993,0.04444424637892864,music80_06_ratio-of-steps_30,1309.2431640625,0.0028352367226034403,1.0,0.004149594809859991,1.0,0.0023964589927345514,1.0
music80_06_ratio-of-steps,31,8.259248733520508,181.46328125,6400,6383,0.41339448792113914,0.09435455568266789,0.04477392472776797,music80_06_ratio-of-steps_31,1282.019775390625,0.002363156760111451,1.0,0.002508938778191805,1.0,0.002175613073632121,1.0
music80_06_ratio-of-steps,32,8.239810943603516,184.075,6400,6376,0.4140551598764573,0.09320268288662312,0.04374612645132723,music80_06_ratio-of-steps_32,1378.32275390625,0.00213782605715096,1.0,0.0020917507354170084,1.0,0.0021808187011629343,1.0
music80_06_ratio-of-steps,33,8.229764938354492,185.2890625,6400,6377,0.41509491679102495,0.09328922982287828,0.04431637971102569,music80_06_ratio-of-steps_33,1256.4595947265625,0.0020092003978788853,1.0,0.0018608502577990294,1.0,0.001823551137931645,1.0
music80_06_ratio-of-steps,34,8.21203899383545,186.2259375,6400,6377,0.4172033893411032,0.09358332499447197,0.044446583285563473,music80_06_ratio-of-steps_34,1407.79443359375,0.0018541489262133837,1.0,0.0017704046331346035,1.0,0.0016979959327727556,1.0
music80_06_ratio-of-steps,35,8.215973854064941,186.260625,6400,6376,0.4200779588330095,0.09407154067826283,0.044638810230008034,music80_06_ratio-of-steps_35,1276.98876953125,0.0017272569239139557,1.0,0.0022241773549467325,1.0,0.001895117457024753,1.0
music80_06_ratio-of-steps,36,8.206182479858398,190.02703125,6400,6378,0.4213724395774846,0.09305112821151632,0.043940321624167666,music80_06_ratio-of-steps_36,1251.7032470703125,0.0014931848272681236,1.0,0.001563122496008873,1.0,0.0013856319710612297,1.0
music80_06_ratio-of-steps,37,8.19122314453125,190.84453125,6400,6380,0.42339879480629933,0.09301025976247906,0.04378447845427108,music80_06_ratio-of-steps_37,1308.3665771484375,0.0016234058421105146,1.0,0.001291300286538899,1.0,0.0021292679011821747,1.0
music80_06_ratio-of-steps,38,8.196187019348145,191.1425,6400,6381,0.4215789123785041,0.09344649879819635,0.04494481988844989,music80_06_ratio-of-steps_38,1375.3494873046875,0.0011975461384281516,1.0,0.0012035418767482042,1.0,0.0011372077278792858,1.0
music80_06_ratio-of-steps,39,8.198437690734863,191.5559375,6400,6379,0.4251330961794959,0.0938665336679469,0.0452312875598294,music80_06_ratio-of-steps_39,1287.3243408203125,0.0011837969068437815,1.0,0.0011938681127503514,1.0,0.0068428488448262215,1.0
music80_06_ratio-of-steps,40,8.187037467956543,192.28465625,32000,31836,0.42956407655102613,0.09174030026394725,0.043228855865937735,music80_06_ratio-of-steps_40,1288.30810546875,0.00304903625510633,1.0,0.0017931663896888494,1.0,0.0018501131562516093,1.0
music80_06_ratio-of-steps,41,8.183780670166016,193.10328125,6400,6383,0.43252302971276163,0.09120435279954002,0.04309151001581823,music80_06_ratio-of-steps_41,1482.5767822265625,0.0015661242650821805,1.0,0.0014677982544526458,1.0,0.007526096422225237,1.0
music80_06_ratio-of-steps,42,8.158498764038086,194.84796875,6400,6385,0.43676298253690143,0.09055916427498564,0.04250158627768842,music80_06_ratio-of-steps_42,1455.4700927734375,0.0013811906101182103,1.0,0.0012888892088085413,1.0,0.0012825092999264598,1.0
music80_06_ratio-of-steps,43,8.162210464477539,196.32953125,6400,6387,0.4408118708704336,0.09061495675838409,0.04190244862217463,music80_06_ratio-of-steps_43,1396.7884521484375,0.0012823634315282106,1.0,0.0011896536452695727,1.0,0.001157587394118309,1.0
