exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0
music80_00_tonality,16,8.088532447814941,126.05109375,6400,6344,0.24914041309173268,0.11953762678216646,0.073656408717824,music80_00_tonality_16,599.487060546875,0,0
music80_00_tonality,17,8.090391159057617,126.63078125,6400,6346,0.24888276627781603,0.12316867150672212,0.07616419678413763,music80_00_tonality_17,613.311767578125,0,0
music80_00_tonality,18,8.08215045928955,125.5125,6400,6335,0.24656812868403186,0.12275783320267472,0.07557630518417485,music80_00_tonality_18,610.8846435546875,0,0
music80_00_tonality,19,8.101311683654785,122.9396875,6400,6331,0.24462019499667054,0.12587422554102767,0.07821685258458443,music80_00_tonality_19,558.788330078125,0,0
music80_00_tonality,20,8.128619194030762,119.68640625,32000,31516,0.24595882953437287,0.12637222995648384,0.07880839539158611,music80_00_tonality_20,644.2891845703125,0,0
music80_00_tonality,21,8.1481294631958,117.0421875,6400,6334,0.24531319615149116,0.12514099122028857,0.07811164816264851,music80_00_tonality_21,561.0191040039062,0,0
music80_00_tonality,22,8.200837135314941,111.86109375,6400,6322,0.24476479409861804,0.126724486870307,0.07930208676613142,music80_00_tonality_22,654.1755981445312,0,0
music80_00_tonality,23,8.177539825439453,109.91171875,6400,6320,0.24116380245420685,0.12975901859404917,0.08173851851950975,music80_00_tonality_23,668.6978759765625,0,0
music80_00_tonality,24,8.231080055236816,107.71328125,6400,6324,0.23658033177654367,0.13267916123129686,0.08379133809063365,music80_00_tonality_24,563.5296020507812,0,0
music80_00_tonality,25,8.260139465332031,103.44171875,6400,6323,0.2370903298545825,0.13378164334277268,0.08525550454150231,music80_00_tonality_25,581.3938598632812,0,0
music80_00_tonality,26,8.285439491271973,100.97796875,6400,6326,0.23398102455385428,0.13524793251939152,0.08597194924388335,music80_00_tonality_26,552.6722412109375,0,0
music80_00_tonality,27,8.294695854187012,96.13515625,6400,6312,0.2334152515885169,0.13732565990915524,0.08788650551871352,music80_00_tonality_27,496.321533203125,0,0
music80_00_tonality,28,8.355375289916992,92.155,6400,6319,0.2294511724829983,0.142169619075519,0.0923895754158531,music80_00_tonality_28,633.3598022460938,0,0
music80_00_tonality,29,8.348091125488281,90.58375,6400,6305,0.2289678757511856,0.14405685608463967,0.09353413876947897,music80_00_tonality_29,569.159912109375,0,0
music80_00_tonality,30,8.359490394592285,89.50390625,32000,31418,0.22649653992962157,0.14425332018988674,0.09420534570408183,music80_00_tonality_30,528.849365234375,0,0
music80_00_tonality,31,8.370924949645996,88.84875,6400,6323,0.22249972406599,0.14826358410354928,0.0972385393649586,music80_00_tonality_31,495.5518798828125,0,0
music80_00_tonality,32,8.361356735229492,87.38328125,6400,6324,0.2221401660713618,0.14901651232866836,0.09831677392094142,music80_00_tonality_32,584.7052612304688,0,0
music80_00_tonality,33,8.356376647949219,87.855625,6400,6315,0.2192597045612269,0.15025863917668486,0.10077578337434247,music80_00_tonality_33,633.150146484375,0,0
music80_00_tonality,34,8.374836921691895,87.26015625,6400,6319,0.21869907007061076,0.15394379260995614,0.10441112209845144,music80_00_tonality_34,592.9434814453125,0,0
music80_00_tonality,35,8.374920845031738,86.6571875,6400,6319,0.2178263133212669,0.156604532768244,0.10488609644641615,music80_00_tonality_35,576.06494140625,0,0
music80_00_tonality,36,8.341888427734375,88.80203125,6400,6329,0.2140791267444483,0.15882111495814427,0.10671242904619149,music80_00_tonality_36,656.1201171875,0,0
music80_00_tonality,37,8.352984428405762,87.033125,6400,6324,0.2108805409212315,0.16258499312136593,0.10994801453695917,music80_00_tonality_37,629.742919921875,0,0
