exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
music80_06_melodicity,62,8.670709609985352,80.493125,6400,6364,0.13693978536951823,0.18843055398510836,0.11583017314660868,music80_06_melodicity_62,321.47088623046875,0.0004514706088230014,1.0,0.00041366578079760075,1.0,0.0003796723030973226,1.0
music80_06_melodicity,63,8.682037353515625,79.04421875,6400,6356,0.13665361313861224,0.1890247783703478,0.11771653474599664,music80_06_melodicity_63,298.18267822265625,0.00035984424175694585,1.0,0.00035623693838715553,1.0,0.00034354240051470697,1.0
music80_06_melodicity,64,8.648462295532227,78.83609375,6400,6368,0.13994892443517298,0.19080909158020445,0.11967481021067745,music80_06_melodicity_64,310.1336669921875,0.00032112852204591036,1.0,0.000419676915043965,1.0,0.00030340193188749254,1.0
music80_06_melodicity,65,8.651893615722656,77.39203125,6400,6366,0.1397119330941403,0.18946925959514493,0.11894281694514339,music80_06_melodicity_65,286.37255859375,0.0003011732187587768,1.0,0.0002803019597195089,1.0,0.0003078128502238542,1.0
music80_06_melodicity,66,8.679803848266602,75.61421875,6400,6361,0.13891908529571864,0.19166057046720833,0.12035746043260169,music80_06_melodicity_66,294.87640380859375,0.0002943726722151041,1.0,0.00026560999685898423,1.0,0.0002601509040687233,1.0
music80_06_melodicity,67,8.661016464233398,74.42859375,6400,6355,0.1375111986474119,0.19475329823392637,0.12395361280712995,music80_06_melodicity_67,279.201904296875,0.0002425813436275348,1.0,0.0004741822776850313,1.0,0.000234426639508456,1.0
music80_06_melodicity,68,8.677611351013184,70.18203125,6400,6359,0.13356775017749456,0.19624056407551835,0.12648150391141763,music80_06_melodicity_68,241.43284606933594,0.00022280945267993957,1.0,0.0002164339239243418,1.0,0.00023272524413187057,1.0
music80_06_melodicity,69,8.665092468261719,68.7275,6400,6356,0.13519174192182487,0.19503499352257606,0.12562947255145684,music80_06_melodicity_69,268.91558837890625,0.000240300694713369,1.0,0.0002013348857872188,1.0,0.00022154420730657876,1.0
music80_06_melodicity,70,8.660365104675293,67.2634375,32000,31614,0.13452628261565794,0.1991603902892084,0.12961186428279967,music80_06_melodicity_70,257.7493896484375,0.00019944315135944635,1.0,0.00019820542365778238,1.0,0.00020379311172291636,1.0
music80_06_melodicity,71,8.646147727966309,65.60109375,6400,6328,0.13133245662805057,0.20165020806454373,0.13132578297828693,music80_06_melodicity_71,253.75836181640625,0.000171241641510278,1.0,0.00016769097419455647,1.0,0.00020353194850031286,1.0
music80_06_melodicity,72,8.656672477722168,64.309375,6400,6342,0.13253350524048815,0.20168697255181875,0.1331219928663511,music80_06_melodicity_72,221.8096923828125,0.0002439608797430992,1.0,0.0003444187459535897,1.0,0.00017595876124687493,1.0
music80_06_melodicity,73,8.664454460144043,62.3778125,6400,6349,0.13478471396805788,0.20387655830776585,0.13322085341971607,music80_06_melodicity_73,295.0111083984375,0.0003533055423758924,1.0,0.00016829678497742862,1.0,0.00016141841479111463,1.0
music80_06_melodicity,74,8.64242935180664,62.36625,6400,6334,0.1320500703926944,0.20575010457432563,0.13473562452285084,music80_06_melodicity_74,289.357666015625,0.0002835633931681514,1.0,0.00017763642244972289,1.0,0.00015313379117287695,1.0
