exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3
music80_08_ratio-of-steps,33,8.651524543762207,101.0190625,6400,6346,0.40496723908601573,0.08502527919409043,0.04280219198091251,music80_08_ratio-of-steps_33,373.6807556152344,0.0014503395650535822,1.0,0.0014193443348631263,1.0,0.0013624874409288168,1.0,0.0022188276052474976,1.0
music80_08_ratio-of-steps,34,8.597343444824219,105.7134375,6400,6347,0.41267850510241444,0.08290903559176539,0.041594934511752016,music80_08_ratio-of-steps_34,405.20220947265625,0.001320076291449368,1.0,0.0013814956182613969,1.0,0.0013311931397765875,1.0,0.00127208954654634,1.0
music80_08_ratio-of-steps,35,8.592440605163574,109.5075,6400,6365,0.4177516796209318,0.08441151188890121,0.042415730298130026,music80_08_ratio-of-steps_35,428.6346130371094,0.001440140069462359,1.0,0.001240903977304697,1.0,0.0011358510237187147,1.0,0.0011459192028269172,1.0
music80_08_ratio-of-steps,36,8.558023452758789,115.386875,6400,6353,0.42268751415841016,0.08414864859561126,0.0425459271194723,music80_08_ratio-of-steps_36,399.58367919921875,0.0026753703132271767,1.0,0.0010390917304903269,1.0,0.011411582119762897,1.0,0.0015196906169876456,1.0
music80_08_ratio-of-steps,37,8.562372207641602,118.44015625,6400,6359,0.42723871347252534,0.08179798363944496,0.040494457095419455,music80_08_ratio-of-steps_37,399.5936584472656,0.00203376985155046,1.0,0.0013262133579701185,1.0,0.001225514686666429,1.0,0.0011743458453565836,1.0
music80_08_ratio-of-steps,38,8.53708267211914,119.3546875,6400,6354,0.43048494239299956,0.08208928093490091,0.04013430235302265,music80_08_ratio-of-steps_38,462.0277404785156,0.0014244966441765428,1.0,0.001429842202924192,1.0,0.001076693064533174,1.0,0.0010443262290209532,1.0
music80_08_ratio-of-steps,39,8.519991874694824,121.7859375,6400,6347,0.43181020292042605,0.08077541156958817,0.04004168425343756,music80_08_ratio-of-steps_39,471.4895935058594,0.001023563090711832,1.0,0.001064481446519494,1.0,0.0009985135402530432,1.0,0.0010204757563769817,1.0
music80_08_ratio-of-steps,40,8.524324417114258,124.99709375,32000,31707,0.43999280043806777,0.08020997847477364,0.03906235399179947,music80_08_ratio-of-steps_40,459.8583984375,0.0009580633486621082,1.0,0.0009032561210915446,1.0,0.0008813402964733541,1.0,0.0009064532932825387,1.0
music80_08_ratio-of-steps,41,8.515774726867676,129.25703125,6400,6351,0.4444204310142746,0.07955571731684474,0.0383502716166533,music80_08_ratio-of-steps_41,513.9737548828125,0.000857271661516279,1.0,0.0008279898320324719,1.0,0.0008150993380695581,1.0,0.0007976895431056619,1.0
music80_08_ratio-of-steps,42,8.48003101348877,135.33109375,6400,6358,0.44966310615351374,0.07822673716411628,0.03778336947944855,music80_08_ratio-of-steps_42,526.126953125,0.0007775162812322378,1.0,0.0010967509588226676,1.0,0.0007494335295632482,1.0,0.0008317070314660668,1.0
music80_08_ratio-of-steps,43,8.456635475158691,142.48609375,6400,6367,0.4566676597230965,0.07710774969168341,0.03691884741118465,music80_08_ratio-of-steps_43,506.5500793457031,0.0007102455710992217,1.0,0.0007742958259768784,1.0,0.0007727048941887915,1.0,0.0007978903013281524,1.0
music80_08_ratio-of-steps,44,8.43002700805664,150.529375,6400,6365,0.4607761017267664,0.07784028314074591,0.03655391927120929,music80_08_ratio-of-steps_44,555.905517578125,0.0007094515603967011,1.0,0.000729261664673686,1.0,0.0011384651297703385,1.0,0.00405119638890028,1.0
music80_08_ratio-of-steps,45,8.389830589294434,156.15234375,6400,6350,0.46589196563460505,0.07393646544774732,0.0346407488531945,music80_08_ratio-of-steps_45,621.1395263671875,0.0010831038234755397,1.0,0.0011486702132970095,1.0,0.009054138325154781,1.0,0.0009488531504757702,1.0
music80_08_ratio-of-steps,46,8.384203910827637,161.50125,6400,6361,0.4699881987606862,0.07485423074931237,0.03612455255116736,music80_08_ratio-of-steps_46,605.3751220703125,0.000969751039519906,1.0,0.0008764866506680846,1.0,0.0008498717797920108,1.0,0.0008022868423722684,1.0
music80_08_ratio-of-steps,47,8.365549087524414,164.97875,6400,6371,0.4719869444993675,0.07453446193939986,0.03542028356639933,music80_08_ratio-of-steps_47,632.348388671875,0.000795090920291841,1.0,0.0008054565987549722,1.0,0.0007423633360303938,1.0,0.0007223620777949691,1.0
music80_08_ratio-of-steps,48,8.361878395080566,170.54515625,6400,6365,0.4736689774457947,0.07375779860214444,0.03488769854651383,music80_08_ratio-of-steps_48,700.0983276367188,0.0007294813403859735,1.0,0.0008766028331592679,1.0,0.0011228929506614804,1.0,0.0007979015936143696,1.0
