exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3,D_loss_4,Accuracy_4
music80_10_ratio-of-steps,66,8.578714370727539,104.36046875,6400,6278,0.3283065715288758,0.08884495262121286,0.047268547217464325,music80_10_ratio-of-steps_66,0.38283950090408325,0.0003693209437187761,1.0,0.0009433508384972811,1.0,0.0004235021478962153,1.0,0.0008775353780947626,1.0,0.0003918009751942009,1.0
music80_10_ratio-of-steps,67,8.57941722869873,106.2540625,6400,6295,0.33006375046442465,0.08895374678473222,0.04712301989918067,music80_10_ratio-of-steps_67,0.2107415497303009,0.0003852516820188612,1.0,0.00037302993587218225,1.0,0.0003678635985124856,1.0,0.0003635091707110405,1.0,0.0004002707719337195,1.0
music80_10_ratio-of-steps,68,8.56917667388916,106.62421875,6400,6277,0.3260696272228726,0.08789973644348992,0.046533107527216816,music80_10_ratio-of-steps_68,0.8150451183319092,0.0004012272984255105,1.0,0.0003602809738367796,1.0,0.0017627259949222207,1.0,0.00037311462801881135,1.0,0.00033474783413112164,1.0
music80_10_ratio-of-steps,69,8.553305625915527,106.6253125,6400,6269,0.32605659748851423,0.08988907742639075,0.0475345953660413,music80_10_ratio-of-steps_69,1.0569708347320557,0.00037025834899395704,1.0,0.00032456012559123337,1.0,0.00039318582275882363,1.0,0.00033696269383654,1.0,0.0003173782315570861,1.0
music80_10_ratio-of-steps,70,8.548145294189453,107.3070625,32000,31317,0.32752759689938066,0.0897447612812102,0.04792738351767591,music80_10_ratio-of-steps_70,0.08888337016105652,0.0003287743020337075,1.0,0.00030529990908689797,1.0,0.0003162276407238096,1.0,0.0003243004612158984,1.0,0.00038647078326903284,1.0
music80_10_ratio-of-steps,71,8.544538497924805,107.4859375,6400,6287,0.3261943765472596,0.0895225824856578,0.04710401428518634,music80_10_ratio-of-steps_71,0.07761715352535248,0.0004617698141373694,1.0,0.004065242130309343,1.0,0.0005003452533856034,1.0,0.0004922138177789748,1.0,0.0005066311568953097,1.0
music80_10_ratio-of-steps,72,8.532578468322754,109.34203125,6400,6283,0.32725338507737556,0.08998124282960127,0.04795290230434884,music80_10_ratio-of-steps_72,0.11125069856643677,0.002164336619898677,1.0,0.0004932628362439573,1.0,0.0004625629517249763,1.0,0.00044814575812779367,1.0,0.0004479352501221001,1.0
music80_10_ratio-of-steps,73,8.545565605163574,109.586875,6400,6296,0.32265756150178754,0.08724605861880112,0.04664053313068134,music80_10_ratio-of-steps_73,0.07295772433280945,0.00045851862523704767,1.0,0.0004350828821770847,1.0,0.00045194130507297814,1.0,0.0004166786093264818,1.0,0.000420882657635957,1.0
music80_10_ratio-of-steps,74,8.528143882751465,108.05984375,6400,6298,0.32254628587073086,0.0902237429522669,0.04785679761927561,music80_10_ratio-of-steps_74,0.15236793458461761,0.0024142873007804155,1.0,0.0003966099175158888,1.0,0.0004014350415673107,1.0,0.0003950518148485571,1.0,0.00038694028626196086,1.0
music80_10_ratio-of-steps,75,8.510895729064941,111.0103125,6400,6298,0.3269712200399024,0.09018146099281864,0.048178576293217985,music80_10_ratio-of-steps_75,0.03978379815816879,0.0003928762162104249,1.0,0.00037872459506615996,1.0,0.00038226775359362364,1.0,0.00036005175206810236,1.0,0.0003539168683346361,1.0
music80_10_ratio-of-steps,76,8.532169342041016,110.10453125,6400,6299,0.3266261244654361,0.08936433557797283,0.04762011348934955,music80_10_ratio-of-steps_76,0.015559975989162922,0.00034994666930288076,1.0,0.0003453704994171858,1.0,0.0003410702629480511,1.0,0.0003423068847041577,1.0,0.0003478706057649106,1.0
music80_10_ratio-of-steps,77,8.532402038574219,110.6821875,6400,6311,0.32451811132491387,0.08993958787851523,0.048223590176003646,music80_10_ratio-of-steps_77,0.18479734659194946,0.0005196654237806797,1.0,0.00031649559969082475,1.0,0.0003081461472902447,1.0,0.00030009844340384007,1.0,0.00035315187415108085,1.0
